"","Address","City","State","ZIP"
"120","1806 S HANFORD ST","Seattle","WA","98144"
"121","3206 18TH AVE S","Seattle","WA","98144"
"122","3037 21ST AVE S","Seattle","WA","98144"
"123","1923 S STEVENS ST","Seattle","WA","98144"
"124","3017 19TH AVE S","Seattle","WA","98144"
"125","3023 18TH AVE S","Seattle","WA","98144"
"126","3027 BEACON AVE S","Seattle","WA","98144"
"127","1708 S HANFORD ST","Seattle","WA","98144"
"128","1704 S HANFORD ST","Seattle","WA","98144"
"129","3004 17TH AVE S","Seattle","WA","98144"
"130","1711 31ST AVE S","Seattle","WA","98144"
"131","1721 31ST AVE S","Seattle","WA","98144"
"132","3201 S MASSACHUSETTS ST","Seattle","WA","98144"
"133","907 30TH AVE S","Seattle","WA","98144"
"134","1115 30TH AVE S","Seattle","WA","98144"
"135","1120 YAKIMA AVE S","Seattle","WA","98144"
"136","911 29TH AVE S","Seattle","WA","98144"
"137","2815 S NORMAN ST","Seattle","WA","98144"
"138","1107 29TH AVE S","Seattle","WA","98144"
"139","3308 23RD AVE S","Seattle","WA","98144"
"140","1710 31ST AVE S","Seattle","WA","98144"
"141","1711 32ND AVE S","Seattle","WA","98144"
"142","1702 31ST AVE S","Seattle","WA","98144"
"143","3057 20TH AVE S","Seattle","WA","98144"
"144","1702 S HANFORD ST","Seattle","WA","98144"
"145","3012 17TH AVE S","Seattle","WA","98144"
"146","3046 18TH AVE S","Seattle","WA","98144"
"147","3031 BEACON AVE S","Seattle","WA","98144"
"148","3219 19TH AVE S","Seattle","WA","98144"
"149","1127 30TH AVE S","Seattle","WA","98144"
"150","1135 30TH AVE S","Seattle","WA","98144"
"151","1126 YAKIMA AVE S","Seattle","WA","98144"
"152","2901 S NORMAN ST","Seattle","WA","98144"
"153","908 A 29TH AVE S","Seattle","WA","98144"
"154","832 A 29TH AVE S","Seattle","WA","98144"
"155","3200 S MASSACHUSETTS ST","Seattle","WA","98144"
"156","1715 32ND AVE S","Seattle","WA","98144"
"157","3032 20TH AVE S","Seattle","WA","98144"
"158","3036 20TH AVE S","Seattle","WA","98144"
"159","1915 S STEVENS ST","Seattle","WA","98144"
"160","3012 19TH AVE S","Seattle","WA","98144"
"161","3052 19TH AVE S","Seattle","WA","98144"
"162","3045 20TH AVE S","Seattle","WA","98144"
"163","3020 17TH AVE S","Seattle","WA","98144"
"164","3211 19TH AVE S","Seattle","WA","98144"
"165","2815 S CHARLES ST","Seattle","WA","98144"
"166","3008 19TH AVE S","Seattle","WA","98144"
"167","1134 YAKIMA AVE S","Seattle","WA","98144"
"168","1117 B YAKIMA AVE S","Seattle","WA","98144"
"169","1114 B 29TH AVE S","Seattle","WA","98144"
"170","2909 S CHARLES ST","Seattle","WA","98144"
"171","823 29TH AVE S","Seattle","WA","98144"
"172","2817 S CHARLES ST","Seattle","WA","98144"
"173","927 29TH AVE S","Seattle","WA","98144"
"174","1300 MARTIN LUTHER KING JR WAY S","Seattle","WA","98144"
