"","lon","lat","address"
"82",-122.301684,47.600065,"303 24th avenue south, seattle, wa 98144, usa"
"83",-122.295859,47.599871,"312 28th avenue south, seattle, wa 98144, usa"
"84",-122.32505,47.574907,"3200 6th avenue south, seattle, wa 98134, usa"
"85",-122.3044935,47.5859421,"1911 22nd avenue south, seattle, wa 98144, usa"
"86",-122.3363482,47.5718991,"60 south spokane street, seattle, wa 98134, usa"
"87",-122.289634,47.571015,"3616 34th avenue south, seattle, wa 98144, usa"
"88",-122.335008,47.551521,"85 south orcas street, seattle, wa 98108, usa"
"89",-122.336208,47.5688595,"3847 1st avenue south, seattle, wa 98134, usa"
"90",-122.31635,47.586849,"1803 13th avenue south, seattle, wa 98144, usa"
"91",-122.325583,47.576475,"2940 6th avenue south, seattle, wa 98134, usa"
"92",-122.3297659,47.5850808,"1919 4th avenue south, seattle, wa 98134, usa"
"93",-122.333789,47.600585,"206 1st avenue south, seattle, wa 98104, usa"
"94",-122.333689,47.593294,"1028 1st avenue south, seattle, wa 98134, usa"
"95",-122.3096813,47.5922075,"1138 poplar place south, seattle, wa 98144, usa"
"96",-122.3321463,47.6041423,"712 3rd avenue, seattle, wa 98104, usa"
"97",-122.305727,47.5970579,"604 20th avenue south, seattle, wa 98144, usa"
"98",-122.333787,47.6011359,"114 1st avenue south, seattle, wa 98104, usa"
"99",-122.311107,47.587067,"1775 17th avenue south, seattle, wa 98144, usa"
"100",-122.3019,47.595748,"722 23rd avenue south, seattle, wa 98144, usa"
"101",-122.3113698,47.5990564,"1605 south jackson street, seattle, wa 98144, usa"
"102",-122.328028,47.574166,"423 south horton street, seattle, wa 98134, usa"
"103",-122.300997,47.583168,"2464 south college street, seattle, wa 98144, usa"
"104",-122.30256,47.600502,"139 23rd avenue south, seattle, wa 98144, usa"
"105",-122.309285,47.598577,"415 18th avenue south, seattle, wa 98144, usa"
"106",-122.3268416,47.5850227,"1919 6th avenue south, seattle, wa 98134, usa"
"107",-122.3271191,47.6084814,"901 madison street, seattle, wa 98104, usa"
"108",-122.3027748,47.5742339,"3200 23rd avenue south, seattle, wa 98144, usa"
