"","Major","Minor","ComplexDescr","NbrBldgs","NbrStories","NbrUnits","AvgUnitSize","ProjectLocation","ProjectAppeal","PcntWithView","ConstrClass","BldgQuality","Condition","YrBuilt","EffYr","PcntComplete","Elevators","SectySystem","Fireplace","Laundry","Address"
"12055",159870,0,"Flats, Townhomes",1,5,28,728,3,3,20,4,4,3,2004,2004,100,"Y","Y","N",2,"2901 S JACKSON ST 98144"
"12074",524780,2315," ",1,4,46,299,3,3,0,3,4,3,1920,1975,0,"N","Y","N",0,"420 MAYNARD AVE S 98104"
"12107",539360,403,"WESTWARD APTS",1,2,15,646,3,3,25,4,4,3,1958,1978,100,"N","N","N",1,"2350 BEACON AVE S 98144"
"12122",766060,205,"4 UNIT",1,2,4,574,3,3,50,4,2,3,1906,1968,100,"N","N","N",1,"1741 12TH AVE S 98144"
"12138",766010,160,"ATLANTIC APTS",1,4,19,824,3,3,60,4,6,3,1977,1990,100,"N","N","Y",0,"1505 13TH AVE S 98144"
"12148",766060,65,"MARCREST APTS",1,4,17,694,3,3,15,4,4,3,1967,1984,100,"N","N","N",1,"1510 13TH AVE S 98144"
"12152",754830,195," ",1,2,4,810,3,3,0,4,4,3,1978,1988,0,"N","N","N",1,"1715 16TH AVE S 98144"
"12192",128230,335,"4 PLEX",1,1,4,568,2,2,0,4,4,2,1954,1973,100,"N","N","N",1,"3221 RAINIER AVE S 98144"
"12272",331950,1365,"5 UNITS-LOW INCOME HOUSING",1,2,5,518,3,4,20,4,4,4,1988,1997,100,"N","N","N",2,"1822 S KING ST 98144"
"12281",151060,0," ",1,15,85,550,3,3,0,2,6,3,1982,1993,100,"Y","Y","N",1,"910 MARION ST 98104"
"12289",388190,180,"10 UNIT",1,4,10,843,3,3,25,4,5,4,1973,1995,100,"N","Y","N",1,"1803 13TH AVE S 98144"
"12416",149830,2998,"6 UNIT APT",1,2,6,661,3,3,0,4,4,3,1959,1981,100,"N","N","N",1,"2400 S HILL ST 98144"
"12429",331950,515," ",1,10,155,489,0,0,40,2,6,4,1972,1995,100,"Y","Y","N",1,"221 18TH AVE S 98144"
"12509",912200,326," OFC/APTS",1,2,4,664,3,3,0,4,4,3,1993,1993,0,"N","N","N",1,"2343 15TH AVE S 98144"
"12523",372680,295,"APT",1,2,4,715,3,3,25,4,5,4,1976,1995,100,"N","N","N",1,"3424 BEACON AVE S 98144"
"12534",937930,70,"APARTMENT BLDG 12 UNITS",1,3,12,566,3,3,0,4,4,3,1970,1985,100,"N","N","N",1,"525 25TH AVE S 98144"
"12598",754830,10,"MARINE VISTA",1,2,7,675,3,3,0,4,5,3,1954,1981,100,"N","N","N",1,"1755 15TH AVE S 98144"
"12611",713330,105,"VIEWLAND APTS",1,3,6,827,3,3,30,4,5,3,1968,1989,100,"N","N","N",1,"1343 15TH AVE S 98144"
"12625",885000,375,"FOUR PLEX",1,2,4,1061,3,3,0,4,4,3,1982,1989,100,"N","N","Y",2,"1532 17TH AVE S 98144"
