"","Major","Minor","ComplexDescr","NbrBldgs","NbrStories","NbrUnits","AvgUnitSize","ProjectLocation","ProjectAppeal","PcntWithView","ConstrClass","BldgQuality","Condition","YrBuilt","EffYr","PcntComplete","Elevators","SectySystem","Fireplace","Laundry","Address"
"7976",859040,905,"220 mixed use apt",1,17,220,716,3,4,50,1,6,3,2006,2006,100,"Y","Y","Y",2,"910 8TH AVE 98104"
"8025",138980,46,"THE MARLIN",1,2,23,443,3,3,0,4,4,4,1959,1984,100,"N","N","N",1,"2530 14TH AVE S 98144"
"8036",713330,120,"FOURPLEX - CONV RES",1,4,4,575,3,3,100,4,3,2,1945,1969,100,"N","N","N",1,"1312 15TH AVE S 98144"
"8060",780412,0,"12 RES UNITS + 2 COML UNITS",1,5,14,846,3,3,0,3,5,5,1900,1975,100,"Y","Y","Y",2,"606 POST AVE 98104"
"8066",149830,900," ",1,2,4,822,3,3,0,4,4,3,1997,1997,100,"N","N","N",2,"1417 S HOLGATE ST 98144"
"8090",367940,45,"THE COLUMBIAN APTS",1,4,20,876,3,3,0,4,5,2,1965,1973,100,"N","Y","N",1,"1410 S COLUMBIAN WAY 98144"
"8135",766010,115,"APARTMENTS",1,2,12,581,3,3,30,4,4,3,1962,1982,100,"N","N","N",1,"1330 12TH AVE S 98144"
"8142",232650,0,"TOWNHOUSES",1,2,2,940,3,3,0,4,4,3,2004,2004,100,"N","N","Y",2,"2700 S ELMWOOD PL 98144"
"8143",355830,0," ",0,0,0,0,0,0,0,0,0,0,2002,2002,0," "," "," ",0,"701 8TH AVE S 98104"
"8257",56700,485,"FOURPLEX",1,2,4,800,0,0,0,4,4,3,1983,1990,100,"N","N","N",1,"918 29TH AVE S 98144"
"8332",138980,5,"2 4 PLEXES",2,1,8,698,3,3,0,4,4,2,1926,1960,100,"N","N","N",2,"1405 S BAYVIEW ST 98144"
"8338",912200,331,"APARTMENT",1,2,5,629,3,3,0,4,4,3,1966,1984,100,"N","N","N",1,"2335 15TH AVE S 98144"
"8348",867045,0,"8-COMMERCIAL-8 RESIDENTIAL CONDO",1,3,16,1097,3,3,0,3,5,5,1913,1980,100,"N","Y","Y",2,"611 POST AVE 98104"
"8383",60600,5,"APT",2,2,16,537,3,3,0,4,4,3,1954,1979,100,"N","N","N",1,"1741 S HANFORD ST 98144"
