"","lon","lat","address"
"82",-122.312683,47.580266,"2528 beacon avenue south, seattle, wa 98144, usa"
"83",-122.318269,47.588662,"1100 south massachusetts street, seattle, wa 98134, usa"
"84",-122.3096188,47.5754087,"3057 beacon avenue south, seattle, wa 98144, usa"
"85",-122.297446,47.593857,"924 martin luther king junior way south, seattle, wa 98144, usa"
"86",-122.305457,47.600249,"2010 south main street, seattle, wa 98144, usa"
"87",-122.297575,47.600577,"206 27th avenue south, seattle, wa 98144, usa"
"88",-122.314313,47.5862253,"1401 south holgate street, seattle, wa 98144, usa"
"89",-122.3270073,47.6051362,"600 7th avenue, seattle, wa 98104, usa"
"90",-122.295123,47.572971,"3320 claremont avenue south, seattle, wa 98144, usa"
"91",-122.2872101,47.599766,"3521 south leschi place, seattle, wa 98144, usa"
"92",-122.292298,47.601111,"110 31st avenue south, seattle, wa 98144, usa"
"93",-122.316472,47.585321,"1213 south plum street, seattle, wa 98144, usa"
"94",-122.315192,47.588911,"1535 14th avenue south, seattle, wa 98144, usa"
"95",-122.314276,47.578822,"2720 14th avenue south, seattle, wa 98144, usa"
"96",-122.316903,47.589142,"1526 12th avenue south, seattle, wa 98144, usa"
"97",-122.3241938,47.6105249,"1207 spring street, seattle, wa 98104, usa"
"98",-122.318269,47.588869,"1604 11th avenue south, seattle, wa 98134, usa"
"99",-122.297748,47.5872389,"1732 martin luther king junior way south, seattle, wa 98144, usa"
"100",-122.317656,47.588797,"1537 12th avenue south, seattle, wa 98144, usa"
"101",-122.2874752,47.573606,"3300 york road south, seattle, wa 98144, usa"
"102",-122.2907454,47.5704277,"3642 33rd avenue south, seattle, wa 98144, usa"
"103",-122.302553,47.596831,"539 23rd avenue south, seattle, wa 98144, usa"
"104",-122.30569,47.5768119,"3001 21st avenue south, seattle, wa 98144, usa"
"105",-122.31377,47.58683,"1801 15th avenue south, seattle, wa 98144, usa"
"106",-122.324418,47.60638,"915 cherry street, seattle, wa 98104, usa"
"107",-122.3137891,47.5828354,"1425 south college street, seattle, wa 98144, usa"
"108",-122.325261,47.6099729,"1105 spring street, seattle, wa 98104, usa"
"109",-122.327365,47.607216,"805 marion street, seattle, wa 98104, usa"
"110",-122.314239,47.590138,"1347 15th avenue south, seattle, wa 98144, usa"
"111",-122.3026567,47.5974169,"501 23rd avenue south, seattle, wa 98144, usa"
"112",-122.3137,47.590733,"1326 15th avenue south, seattle, wa 98144, usa"
"113",-122.314283,47.578985,"2718 14th avenue south, seattle, wa 98144, usa"
"114",-122.314115,47.589593,"1511 15th avenue south, seattle, wa 98144, usa"
"115",-122.298289,47.595023,"2611 south dearborn street, seattle, wa 98144, usa"
"116",-122.3039976,47.6004807,"2100 south main street, seattle, wa 98144, usa"
"117",-122.314298,47.585821,"1914 14th avenue south, seattle, wa 98144, usa"
"118",-122.310367,47.576694,"1705 south stevens street, seattle, wa 98144, usa"
"119",-122.325433,47.599527,"315 maynard avenue south, seattle, wa 98104, usa"
"120",-122.296194,47.594814,"830 28th avenue south, seattle, wa 98144, usa"
"121",-122.3130442,47.5881741,"1709 16th avenue south, seattle, wa 98144, usa"
"122",-122.3299421,47.6013442,"101 prefontaine place south, seattle, wa 98104, usa"
"123",-122.317655,47.588594,"1545 12th avenue south, seattle, wa 98144, usa"
"124",-122.315167,47.591245,"1307 14th avenue south, seattle, wa 98144, usa"
"125",-122.3099819,47.573896,"1727 south horton street, seattle, wa 98144, usa"
"126",-122.316902,47.587727,"1722 12th avenue south, seattle, wa 98144, usa"
"127",-122.335067,47.5999602,"75 south main street, seattle, wa 98104, usa"
"128",-122.309244,47.57387,"3301 beacon avenue south, seattle, wa 98144, usa"
"129",-122.325965,47.600367,"202 6th avenue south, seattle, wa 98104, usa"
"130",-122.304635,47.599764,"2035 south main street, seattle, wa 98144, usa"
"131",-122.28586,47.599264,"334 lakeside avenue south, seattle, wa 98144, usa"
"132",-122.3025452,47.600935,"113 23rd avenue south, seattle, wa 98144, usa"
"133",-122.316351,47.58652,"1815 13th avenue south, seattle, wa 98144, usa"
"134",-122.314251,47.579695,"1406 south lander street, seattle, wa 98144, usa"
"135",-122.31452,47.589593,"1510 14th avenue south, seattle, wa 98144, usa"
"136",-122.3244103,47.5972612,"657 south weller street, seattle, wa 98104, usa"
"137",-122.3345306,47.6012754,"111 1st avenue south, seattle, wa 98104, usa"
"138",-122.2868315,47.5969589,"526 lakeside avenue south, seattle, wa 98144, usa"
"139",-122.315429,47.588207,"1311 south massachusetts street, seattle, wa 98144, usa"
"140",-122.314308,47.5719459,"1414 south columbian way, seattle, wa 98144, usa"
"141",-122.311107,47.587067,"1775 17th avenue south, seattle, wa 98144, usa"
"142",-122.3101679,47.5765754,"3013 beacon avenue south, seattle, wa 98144, usa"
"143",-122.29417,47.599012,"403 30th avenue south, seattle, wa 98144, usa"
"144",-122.295088,47.595129,"818 29th avenue south, seattle, wa 98144, usa"
"145",-122.3078745,47.594745,"842 davis place south, seattle, wa 98144, usa"
"146",-122.300313,47.59715,"531 25th avenue south, seattle, wa 98144, usa"
"147",-122.3337071,47.5975638,"526 1st avenue south, seattle, wa 98104, usa"
"148",-122.3130541,47.5883137,"1701 16th avenue south, seattle, wa 98144, usa"
"149",-122.315188,47.589548,"1511 14th avenue south, seattle, wa 98144, usa"
"150",-122.315177,47.572037,"3501 14th avenue south, seattle, wa 98144, usa"
"151",-122.324918,47.606219,"905 cherry street, seattle, wa 98104, usa"
"152",-122.3284,47.607383,"901 8th avenue, seattle, wa 98104, usa"
"153",-122.317657,47.587044,"1745 12th avenue south, seattle, wa 98144, usa"
"154",-122.286043,47.598824,"400 lakeside avenue south, seattle, wa 98144, usa"
"155",-122.316363,47.585115,"2011 13th avenue south, seattle, wa 98144, usa"
"156",-122.2881176,47.5735357,"3301 york road south, seattle, wa 98144, usa"
"157",-122.316903,47.589416,"1516 12th avenue south, seattle, wa 98144, usa"
"158",-122.3252153,47.6048064,"800 jefferson street, seattle, wa 98104, usa"
"159",-122.3084778,47.5739107,"1749 south horton street, seattle, wa 98144, usa"
"160",-122.316901,47.588139,"1700 12th avenue south, seattle, wa 98144, usa"
"161",-122.312317,47.5882099,"1706 16th avenue south, seattle, wa 98144, usa"
"162",-122.323695,47.610628,"1223 spring street, seattle, wa 98104, usa"
"163",-122.286561,47.599768,"317 lakeside avenue south, seattle, wa 98144, usa"
"164",-122.3346989,47.5993681,"80 south jackson street, seattle, wa 98104, usa"
"165",-122.32282,47.610994,"1301 spring street, seattle, wa 98104, usa"
"166",-122.3151787,47.5914215,"1313 south judkins street, seattle, wa 98144, usa"
"167",-122.315621,47.590283,"1340 13th avenue south, seattle, wa 98144, usa"
"168",-122.294709,47.598299,"2900 south king street, seattle, wa 98144, usa"
"169",-122.32726,47.601358,"108 5th avenue south, seattle, wa 98104, usa"
"170",-122.3311385,47.6012145,"410 2nd avenue extension south, seattle, wa 98104, usa"
"171",-122.322391,47.6105696,"1314 madison street, seattle, wa 98104, usa"
"172",-122.293699,47.571914,"3435 rainier avenue south, seattle, wa 98144, usa"
"173",-122.3287206,47.5997926,"308 4th avenue south, seattle, wa 98104, usa"
"174",-122.2958015,47.5924416,"1129 29th avenue south, seattle, wa 98144, usa"
"175",-122.3031083,47.5922834,"1121 23rd avenue south, seattle, wa 98144, usa"
"176",-122.2994866,47.5982469,"2508 south king street, seattle, wa 98144, usa"
"177",-122.295628,47.587995,"1706 bradner place south, seattle, wa 98144, usa"
"178",-122.329894,47.600704,"204 3rd avenue south, seattle, wa 98104, usa"
"179",-122.288611,47.569972,"3656 35th avenue south, seattle, wa 98144, usa"
"180",-122.3354939,47.6003248,"212 alaskan way south, seattle, wa 98104, usa"
"181",-122.324819,47.610158,"1017 minor avenue, seattle, wa 98104, usa"
"182",-122.28549,47.599835,"300 lakeside avenue south, seattle, wa 98144, usa"
"183",-122.321692,47.604371,"1005 terrace street, seattle, wa 98104, usa"
"184",-122.2881716,47.5781879,"3601 south mcclellan street, seattle, wa 98144, usa"
"185",-122.3258135,47.5963039,"718 6th avenue south, seattle, wa 98104, usa"
"186",-122.314294,47.580523,"2512 14th avenue south, seattle, wa 98144, usa"
"187",-122.31367,47.600427,"1400 south main street, seattle, wa 98144, usa"
"188",-122.312063,47.59073,"1329 sturgus avenue south, seattle, wa 98144, usa"
"189",-122.3097458,47.5948003,"843 hiawatha place south, seattle, wa 98144, usa"
"190",-122.323307,47.606844,"615 boren avenue, seattle, wa 98104, usa"
"191",-122.301896,47.594157,"910 23rd avenue south, seattle, wa 98144, usa"
"192",-122.3136918,47.5711416,"3615 15th avenue south, seattle, wa 98144, usa"
"193",-122.295866,47.573797,"2900 south byron street, seattle, wa 98144, usa"
"194",-122.29757,47.600714,"200 27th avenue south, seattle, wa 98144, usa"
"195",-122.3169056,47.59124,"1308 12th avenue south, seattle, wa 98144, usa"
"196",-122.314442,47.590833,"1320 14th avenue south, seattle, wa 98144, usa"
"197",-122.287349,47.596534,"534 lakeside avenue south, seattle, wa 98144, usa"
"198",-122.3380234,47.6043067,"1009 western avenue, seattle, wa 98104, usa"
"199",-122.3188907,47.5970362,"1011 south weller street, seattle, wa 98104, usa"
"200",-122.314517,47.591076,"1312 14th avenue south, seattle, wa 98144, usa"
"201",-122.295797,47.572779,"3321 claremont avenue south, seattle, wa 98144, usa"
"202",-122.3163748,47.5912426,"1309 13th avenue south, seattle, wa 98144, usa"
"203",-122.31635,47.587924,"1711 13th avenue south, seattle, wa 98144, usa"
"204",-122.304675,47.600248,"2034 south main street, seattle, wa 98144, usa"
"205",-122.316902,47.58759,"1728 12th avenue south, seattle, wa 98144, usa"
"206",-122.3361893,47.6049041,"1000 1st avenue, seattle, wa 98104, usa"
"207",-122.313852,47.569167,"1499 south columbian way, seattle, wa 98144, usa"
"208",-122.300233,47.599832,"323 25th avenue south, seattle, wa 98144, usa"
"209",-122.2941752,47.5939772,"917 yakima place south, seattle, wa 98144, usa"
"210",-122.3086146,47.5942039,"908 hiawatha place south, seattle, wa 98144, usa"
"211",-122.297835,47.598774,"415 martin luther king junior way south, seattle, wa 98144, usa"
"212",-122.311972,47.590625,"1331 sturgus avenue south, seattle, wa 98144, usa"
"213",-122.3252591,47.6090406,"909 boren avenue, seattle, wa 98104, usa"
"214",-122.296203,47.572499,"3430 renton place south, seattle, wa 98144, usa"
"215",-122.294175,47.599368,"333 30th avenue south, seattle, wa 98144, usa"
"216",-122.318601,47.589523,"1111 south atlantic street, seattle, wa 98134, usa"
"217",-122.3320743,47.6031728,"619 3rd avenue, seattle, wa 98104, usa"
"218",-122.29927,47.601126,"115 26th avenue south, seattle, wa 98144, usa"
"219",-122.3332218,47.5989844,"123 south jackson street, seattle, wa 98104, usa"
"220",-122.318123,47.5881169,"1702 11th avenue south, seattle, wa 98134, usa"
"221",-122.3225801,47.6096859,"1229 madison street, seattle, wa 98104, usa"
"222",-122.3093842,47.5956768,"800 hiawatha place south, seattle, wa 98144, usa"
"223",-122.3176581,47.5898131,"1115 south atlantic street, seattle, wa 98134, usa"
"224",-122.3139085,47.5831375,"1414 south college street, seattle, wa 98144, usa"
"225",-122.285731,47.599457,"324 lakeside avenue south, seattle, wa 98144, usa"
"226",-122.3243994,47.5994362,"664 south jackson street, seattle, wa 98104, usa"
"227",-122.303442,47.6013469,"104 22nd avenue south, seattle, wa 98144, usa"
"228",-122.327138,47.605842,"718 cherry street, seattle, wa 98104, usa"
"229",-122.299535,47.598771,"412 25th avenue south, seattle, wa 98144, usa"
"230",-122.322471,47.60522,"420 terry avenue, seattle, wa 98104, usa"
"231",-122.295859,47.599871,"312 28th avenue south, seattle, wa 98144, usa"
"232",-122.3150828,47.5820122,"2366 beacon avenue south, seattle, wa 98144, usa"
"233",-122.3156383,47.581614,"2410 13th avenue south, seattle, wa 98144, usa"
"234",-122.3182127,47.5903384,"1100 south atlantic street, seattle, wa 98134, usa"
"235",-122.3250761,47.5989348,"400 maynard avenue south, seattle, wa 98104, usa"
"236",-122.292857,47.589284,"1501 31st avenue south, seattle, wa 98144, usa"
"237",-122.316404,47.579904,"2539 13th avenue south, seattle, wa 98144, usa"
"238",-122.313974,47.569592,"1493 south columbian way, seattle, wa 98144, usa"
