"","Major","Minor","BldgNbr","NbrBldgs","Address","BuildingNumber","Fraction","DirectionPrefix","StreetName","StreetType","DirectionSuffix","ZipCode","NbrStories","PredominantUse","Shape","ConstrClass","BldgQuality","BldgDescr","BldgGrossSqFt","BldgNetSqFt","YrBuilt","EffYr","PcntComplete","HeatingSystem","Sprinklers","Elevators"
"1",884905,0,1,1,"512       S  WELLER                    ST      98104","512","   ","S ","WELLER                   ","ST  ","  ","98104",6,459,4,4,4,"Uwajimaya Village                                 ",294707,199693,2003,2003,100,17,"Y","Y"
"2",308500,1665,2,1,"3001         24TH                      AVE  S  98144","3001","   ","  ","24TH                     ","AVE ","S ","98144",1,365,2,4,4,"HALL & CLASSROOMS                                 ",15474,15474,1961,1967,100,3,"N"," "
"3",182404,9058,2,1,"3625         1ST                       AVE  S  98134","3625","   ","  ","1ST                      ","AVE ","S ","98134",1,406,2,4,2,"STORAGE                                           ",1620,1620,1943,1943,100,20,"N"," "
"4",766620,4180,1,1,"2900         4TH                       AVE  S  98134","2900","   ","  ","4TH                      ","AVE ","S ","98134",1,494,2,3,4,"Industrial Light Manufacturing                    ",41248,41248,1937,1965,100,19,"Y"," "
"5",766620,4990,2,1,"1555         4TH                       AVE  S  98134","1555","   ","  ","4TH                      ","AVE ","S ","98134",1,407,1,5,4,"WHSE/LDG DOCK                                     ",484,484,1998,1998,100,20," "," "
"6",364650,0,1,1,"123       S  JACKSON                   ST      98104","123","   ","S ","JACKSON                  ","ST  ","  ","98104",2,300,3,3,6,"Mixed Use Condominium                             ",6885,6885,1902,2000,100,2,"Y"," "
"7",524780,105,1,1,"219          1ST                       AVE  S  98104","219","   ","  ","1ST                      ","AVE ","S ","98104",4,344,2,3,4,"OFFICE BUILDING W/RETAIL ON 1ST FLOOR             ",33300,22378,1900,1987,100,7,"Y","Y"
"8",159460,80,1,1,"2468      S  COLLEGE                   ST      98144","2468","   ","S ","COLLEGE                  ","ST  ","  ","98144",1,352,2,4,2,"4-PLEX                                            ",2392,2392,1904,1970,100,2,"N","N"
"9",357320,250,3,1,"4634         EAST MARGINAL             WAY  S  98134","4634","   ","  ","EAST MARGINAL            ","WAY ","S ","98134",2,344,2,4,4,"OFFICE BUILDING ""C""                             ",24689,20744,1983,1983,100,12,"Y"," "
"10",767180,250,2,1,"1711         13TH                      AVE  SW 98134","1711","   ","  ","13TH                     ","AVE ","SW","98134",1,406,2,5,6,"WAREHOUSE                                         ",5250,5250,1968,1975,100,20,"N"," "
"11",859090,455,1,1,"415          BOREN                     AVE     98104","415","   ","  ","BOREN                    ","AVE ","  ","98104",3,352,2,3,4,"THE MONTICELLO APTS                               ",51098,42513,1957,1985,100,1,"N","N"
"12",766620,4795,1,1,"1064         4TH                       AVE  S  98134","1064","   ","  ","4TH                      ","AVE ","S ","98134",3,344,2,2,6,"OFFICE WITH WAREHOUSE SHOWROOM                    ",56700,56700,1910,1988,100,4,"N"," "
"13",94200,720,1,1,"525          COLUMBIA                  ST      98104","525","   ","  ","COLUMBIA                 ","ST  ","  ","98104",63,0,2,1,6,"OFFICE                                            ",1195387,1011547,1990,1994,100,17,"Y","Y"
"14",524780,1430,1,1,"216          4TH                       AVE  S  98104","216","   ","  ","4TH                      ","AVE ","S ","98104",1,353,2,4,2,"Restaurant & Tavern                               ",3600,3600,1900,1955,100,6,"N"," "
"15",912200,975,1,1,"2347         RAINIER                   AVE  S  98144","2347","   ","  ","RAINIER                  ","AVE ","S ","98144",1,353,2,4,4,"RETAIL STORE                                      ",1760,1760,1931,1970,100,1,"N"," "
"16",331950,1835,1,1,"1814      S  WELLER                    ST      98144","1814","   ","S ","WELLER                   ","ST  ","  ","98144",2,352,2,4,4,"FOUR PLEX                                         ",3488,2875,1916,1975,100,2,"N","N"
"17",332000,160,1,1,"308          14TH                      AVE  S  98144","308","   ","  ","14TH                     ","AVE ","S ","98144",1,528,2,3,4,"AUTO SERVICE GARAGE                               ",4600,4600,1999,1999,100,6," "," "
"18",766620,5945,1,1,"3228         1ST                       AVE  S  98134","3228","   ","  ","1ST                      ","AVE ","S ","98134",1,830,2,4,3,"EVENT SPACE/OPEN OFFICE/CAFE                      ",20975,20975,1937,1959,100,6,"N"," "
"19",93900,260,1,1,"710          2ND                       AVE     98104","710","   ","  ","2ND                      ","AVE ","  ","98104",15,344,2,2,6,"DEXTER HORTON OFFICE BUILDING                     ",388934,313380,1922,1992,100,8,"Y","Y"
"20",766620,7786,4,1,"17        S  MASSACHUSETTS             ST      98134","17","   ","S ","MASSACHUSETTS            ","ST  ","  ","98134",4,344,2,1,8,"OFFICE BUILDING / COMMAND CENTER                  ",60694,57339,2006,2006,100,17,"Y","Y"
"21",690920,525,1,1,"1401         31ST                      AVE  S  98144","1401","   ","  ","31ST                     ","AVE ","S ","98144",1,353,2,4,4,"RETAIL STORE                                      ",1458,1458,1960,1980,100,2,"N"," "
"22",182404,9099,1,1,"3667         1ST                       AVE  S  98134","3667","   ","  ","1ST                      ","AVE ","S ","98134",1,494,2,3,4,"WAREHOUSE - FOOD PROCESSING                       ",11100,11100,1948,1975,100,20,"Y"," "
"23",128230,825,1,1,"3330         RAINIER                   AVE  S  98144","3330","   ","  ","RAINIER                  ","AVE ","S ","98144",1,419,2,4,5,"RESTAURANT                                        ",4131,3997,1982,2000,100,3,"N"," "
"24",539360,510,1,1,"1425      S  COLLEGE                   ST      98144","1425","   ","S ","COLLEGE                  ","ST  ","  ","98144",1,352,2,4,4,"4-PLEX                                            ",2608,2416,1957,1979,100,2,"N","N"
"25",982070,95,1,1,"206          5TH                       AVE  S  98104","206","   ","  ","5TH                      ","AVE ","S ","98104",1,350,2,3,4,"RESTAURANT/RETAIL                                 ",4570,4570,1924,1970,100,6,"N"," "
"26",766620,5125,1,1,"1907         4TH                       AVE  S  98134","1907","   ","  ","4TH                      ","AVE ","S ","98134",1,349,2,4,6,"FAST FOOD REST                                    ",2687,2687,1992,1992,100,12,"Y"," "
"27",524780,70,1,1,"77        S  WASHINGTON                ST      98104","77","   ","S ","WASHINGTON               ","ST  ","  ","98104",5,424,2,3,4,"SHELTER & MISSION TO HOMELESS                     ",21600,21600,1903,2004,100,7,"Y","Y"
"28",372680,295,1,1,"3424         BEACON                    AVE  S  98144","3424","   ","  ","BEACON                   ","AVE ","S ","98144",2,352,2,4,5,"APT                                               ",3512,2862,1976,1995,100,2,"N","N"
"29",132730,15,4,1,"65        S  HORTON                    ST      98134","65","   ","S ","HORTON                   ","ST  ","  ","98134",1,494,2,5,2,"MANUF                                             ",8774,8774,1967,1965,100,20,"N"," "
"30",766670,2850,11,1,"1719         13TH                      AVE  SW 98134","1719","   ","  ","13TH                     ","AVE ","SW","98134",1,472,2,5,2,"T 98-Babbit Building                              ",507,507,1961,1961,100,20,"Y"," "
"31",766670,2850,19,1,"1719         13TH                      AVE  SW 98134","1719","   ","  ","13TH                     ","AVE ","SW","98134",1,494,2,5,4,"T 206-Blast House                                 ",10466,10466,1984,1985,100,20,"Y"," "
"32",396440,271,1,1,"3315         BEACON                    AVE  S  98144","3315","   ","  ","BEACON                   ","AVE ","S ","98144",1,350,2,3,4,"Restaurant                                        ",2060,2060,1926,1975,100,3," "," "
"33",713380,125,1,1,"1100         POPLAR                    PL   S  98144","1100","   ","  ","POPLAR                   ","PL  ","S ","98144",2,386,2,3,4,"Seattle Mini-Storage                              ",28800,22750,1956,1985,100,0,"N"," "
"34",52404,9001,1,1,"1300      S  WELLER                    ST      98144","1300","   ","S ","WELLER                   ","ST  ","  ","98144",1,406,2,2,4,"West Air Communications                           ",5904,5904,1971,1990,100,3,"N"," "
"35",172280,2730,1,1,"60        S  LUCILE                    ST      98134","60","   ","S ","LUCILE                   ","ST  ","  ","98134",1,494,2,3,4,"INDUSTRIAL BLDG                                   ",2400,2400,1950,1979,100,20,"N"," "
"36",766620,5835,2,1,"3408         1ST                       AVE  S  98134","3408","   ","  ","1ST                      ","AVE ","S ","98134",1,406,3,4,4,"BLDG 'B'-STORAGE WAREHOUSE                        ",9000,9000,1923,2010,100,6,"N"," "
"37",524780,1985,1,1,"614       S  JACKSON                   ST      98104","614","   ","S ","JACKSON                  ","ST  ","  ","98104",3,459,2,4,4,"RETAIL STORE W/APARTMENT UNITS                    ",27494,19358,1910,1973,100,2,"Y"," "
"38",683470,175,6,1,"801       S  DEARBORN                  ST      98134","801","   ","S ","DEARBORN                 ","ST  ","  ","98134",1,528,2,5,4,"                                                  ",1624,1624,1984,1984,100,6," "," "
"39",197460,25,1,1,"1007         1ST                       AVE     98104","1007","   ","  ","1ST                      ","AVE ","  ","98104",3,841,3,3,6,"ALEXIS HOTEL (ARLINGTON BLDG)                     ",62760,62760,1901,1990,100,11,"Y","Y"
"40",859040,395,1,1,"701          MADISON                   ST      98104","701","   ","  ","MADISON                  ","ST  ","  ","98104",9,344,2,2,6,"7TH & MADISON OFFICE BLDG                         ",302902,205148,2008,2009,100,17,"Y","Y"
"41",92404,9007,1,1,"2222      S  GRAND                     ST      98144","2222","   ","S ","GRAND                    ","ST  ","  ","98144",1,494,2,3,2,"WAREHOUSE                                         ",25984,17024,1988,1991,100,8,"N"," "
"42",713230,215,1,1,"852          RAINIER                   AVE  S  98144","852","   ","  ","RAINIER                  ","AVE ","S ","98144",1,419,2,4,2,"GAS & FOOD MART                                   ",4478,4478,1988,1988,100,11,"Y"," "
"43",859040,476,1,1,"703          8TH                       AVE     98104","703","   ","  ","8TH                      ","AVE ","  ","98104",3,424,2,4,4,"Group Care Home                                   ",15120,13040,1910,1980,100,4,"N"," "
"44",56700,590,1,1,"812          29TH                      AVE  S  98144","812","   ","  ","29TH                     ","AVE ","S ","98144",3,352,2,4,4,"4 - PLEX                                          ",3468,3204,1963,1982,100,2,"N","N"
"45",197820,710,1,1,"1207         SPRING                    ST      98104","1207","   ","  ","SPRING                   ","ST  ","  ","98104",4,300,2,4,6,"SAN MARCO APARTMENTS                              ",24840,17300,1905,1985,100,4,"N","N"
"46",331950,565,1,1,"1601      S  WASHINGTON                ST      98144","1601","   ","S ","WASHINGTON               ","ST  ","  ","98144",1,341,2,4,4,"MEDICAL OFFICE BLDG                               ",8400,8400,1961,1979,100,3,"N"," "
"47",859040,545,6,1,"908          JEFFERSON                 ST      98104","908","   ","  ","JEFFERSON                ","ST  ","  ","98104",4,345,2,2,5,"P2-Parking garage                                 ",133929,133929,2001,2001,100,20,"Y","Y"
"48",859090,565,1,1,"1008         JAMES                     ST      98104","1008","   ","  ","JAMES                    ","ST  ","  ","98104",3,344,2,4,4,"2-4 PLEX SFR CONVERTED TO Office Bldg             ",4900,4600,1900,1990,100,2,"N"," "
"49",859090,135,1,1,"700          9TH                       AVE     98104","700","   ","  ","9TH                      ","AVE ","  ","98104",7,344,2,2,6,"Catholic - Office Building                        ",54372,54372,1970,1995,100,14,"Y","Y"
"50",766620,7360,8,1,"2901         UTAH                      AVE  S  98134","2901","   ","  ","UTAH                     ","AVE ","S ","98134",1,494,2,4,2,"OFC,SHOP,STG BLDG 'H'                             ",15263,15263,1939,1939,100,5," "," "
"51",766670,390,3,1,"44        S  NEVADA                    ST      98134","44","   ","S ","NEVADA                   ","ST  ","  ","98134",1,468,2,5,4,"MATERIAL STG SHED                                 ",12480,12480,1967,1967,100,20,"N"," "
"52",766620,3595,1,1,"2930         7TH                       AVE  S  98134","2930","   ","  ","7TH                      ","AVE ","S ","98134",1,406,2,3,2,"TILT UP WAREHOUSE                                 ",13396,13396,1977,1977,100,6,"N"," "
"53",524780,1925,1,1,"601       S  JACKSON                   ST      98104","601","   ","S ","JACKSON                  ","ST  ","  ","98104",2,304,2,2,8,"SAVINGS AND LOAN                                  ",8664,8664,1973,1986,100,12,"N"," "
"54",859090,220,4,1,"300          9TH                       AVE     98104","300","   ","  ","9TH                      ","AVE ","  ","98104",3,345,2,2,5,"BOREN AVE PARKING GARAGE                          ",113770,113770,1993,1993,100,0,"Y","Y"
"55",149830,780,1,1,"2101         14TH                      AVE  S  98144","2101","   ","  ","14TH                     ","AVE ","S ","98144",2,840,2,4,3,"OFFICE BUILDING W/ APT                            ",6000,6000,1906,1965,100,2,"N"," "
"56",683470,175,3,1,"801       S  DEARBORN                  ST      98134","801","   ","S ","DEARBORN                 ","ST  ","  ","98134",1,528,2,3,4,"GARAGE                                            ",15000,15000,1975,1975,100,20,"N"," "
"57",766620,6417,1,1,"1740         1ST                       AVE  S  98134","1740","   ","  ","1ST                      ","AVE ","S ","98134",1,419,2,4,3,"DELI-MART                                         ",1848,1848,1985,1985,100,3,"N"," "
"58",766620,3387,2,1,"1333         AIRPORT                   WAY  S  98134","1333","   ","  ","AIRPORT                  ","WAY ","S ","98134",1,528,2,3,6,"SERVICE GARAGE FOR TROLLEYS                       ",11472,11472,1979,1979,100,6,"N"," "
"59",182404,9075,2,1,"3847         1ST                       AVE  S  98134","3847","   ","  ","1ST                      ","AVE ","S ","98134",2,344,2,3,4,"OFFICE BLDG                                       ",5471,5471,1961,1978,100,3,"N"," "
"60",331950,85,1,1,"1510      S  WASHINGTON                ST      98144","1510","   ","S ","WASHINGTON               ","ST  ","  ","98144",1,353,2,4,4,"Judo School                                       ",3636,3636,1934,1969,100,2,"N"," "
"61",713280,106,3,1,"1131         POPLAR                    PL   S  98144","1131","   ","  ","POPLAR                   ","PL  ","S ","98144",1,407,1,5,4,"Warehouse                                         ",4653,4653,1982,1998,100,6,"Y"," "
"62",766670,1356,8,1,"2900         11TH                      AVE  SW 98134","2900","   ","  ","11TH                     ","AVE ","SW","98134",2,820,3,5,6,"OFFICE BLDG.                                      ",15000,15000,2001,2001,100,17,"Y"," "
"63",766620,4480,3,1,"1964         4TH                       AVE  S  98134","1964","   ","  ","4TH                      ","AVE ","S ","98134",3,406,2,4,4,"storage warehouse-framed                          ",40428,40428,1916,1974,100,6," ","Y"
"64",57000,340,1,1,"2524         16TH                      AVE  S  98144","2524","   ","  ","16TH                     ","AVE ","S ","98144",2,491,2,4,4,"CULTURAL CENTER                                   ",52554,52554,1900,1970,100,5,"Y","Y"
"65",766620,2825,1,1,"1410         8TH                       AVE  S  98134","1410","   ","  ","8TH                      ","AVE ","S ","98134",1,494,2,3,4,"SEATTLE INJECTOR CO                               ",4440,4440,1951,1960,100,1,"N"," "
"66",766620,2905,1,1,"2000         AIRPORT                   WAY  S  98134","2000","   ","  ","AIRPORT                  ","WAY ","S ","98134",1,406,2,4,2,"WHSE                                              ",11200,11200,1941,1945,100,6,"N"," "
"67",712830,5,1,1,"1855      S  LANE                      ST      98144","1855","   ","S ","LANE                     ","ST  ","  ","98144",2,426,4,4,5,"DAY CARE CENTER                                   ",9626,9626,2005,2005,100,3,"Y","Y"
"68",766620,3240,1,1,"2203         AIRPORT                   WAY  S  98134","2203","   ","  ","AIRPORT                  ","WAY ","S ","98134",4,344,2,2,4,"OFFICE BLDG ""A""                                 ",102075,96814,1944,1985,100,12,"Y"," "
"69",912200,1075,2,1,"2300         26TH                      AVE  S  98144","2300","   ","  ","26TH                     ","AVE ","S ","98144",1,494,4,3,4,"BOTTLING PLANT                                    ",166014,166014,1972,1972,100,17,"Y"," "
"70",859040,490,1,1,"715          CHERRY                    ST      98104","715","   ","  ","CHERRY                   ","ST  ","  ","98104",1,309,2,3,5,"CHURCH                                            ",15096,15096,1929,1975,100,4,"N"," "
"71",766620,7012,1,1,"72        S  ATLANTIC                  ST      98134","72","   ","S ","ATLANTIC                 ","ST  ","  ","98134",1,407,2,3,4,"WAREHOUSE                                         ",11880,11880,1957,1965,100,6,"Y"," "
"72",93900,5,1,1,"515          2ND                       AVE     98104","515","   ","  ","2ND                      ","AVE ","  ","98104",3,345,2,3,4,"PARKING GARAGE STRUCTURE                          ",55410,55410,1961,1961,100,20,"Y"," "
"73",59700,695,1,1,"3057         BEACON                    AVE  S  98144","3057","   ","  ","BEACON                   ","AVE ","S ","98144",1,353,3,4,5,"RETAIL STORE                                      ",6024,5625,1926,1970,100,1," "," "
"74",766620,7426,1,1,"3223         1ST                       AVE  S  98134","3223","   ","  ","1ST                      ","AVE ","S ","98134",2,407,2,3,4,"OFFICE/WAREHOUSE                                  ",19620,19620,1989,1989,100,6,"N"," "
"75",859290,80,2,1,"616          8TH                       AVE  S  98104","616","   ","  ","8TH                      ","AVE ","S ","98104",1,407,2,3,4,"WHSE                                              ",2968,2968,1955,1970,100,6,"N"," "
"76",982070,90,1,1,"200          5TH                       AVE  S  98104","200","   ","  ","5TH                      ","AVE ","S ","98104",5,300,2,4,4,"ASCONA APTS                                       ",40420,23027,1910,1979,100,2,"Y","Y"
"77",766620,3165,1,1,"2701         AIRPORT                   WAY  S  98134","2701","   ","  ","AIRPORT                  ","WAY ","S ","98134",1,419,2,4,3,"DELI-MART                                         ",2465,2465,1942,1976,100,6,"N"," "
"78",149830,2390,1,1,"1915         RAINIER                   AVE  S  98144","1915","   ","  ","RAINIER                  ","AVE ","S ","98144",1,353,2,4,4,"RETAIL                                            ",2562,2450,1925,1979,100,6,"N"," "
"79",766620,5656,1,1,"231       S  HINDS                     ST      98134","231","   ","S ","HINDS                    ","ST  ","  ","98134",1,406,2,3,4,"WAREHOUSE                                         ",6000,6000,1964,1974,100,3,"N"," "
"80",93900,355,1,1,"801          2ND                       AVE     98104","801","   ","  ","2ND                      ","AVE ","  ","98104",17,344,2,1,6,"NORTON OFFICE BUILDING                            ",331695,247095,1958,1988,100,14,"Y","Y"
"81",341660,420,1,1,"110          31ST                      AVE  S  98144","110","   ","  ","31ST                     ","AVE ","S ","98144",2,352,2,4,4,"6 UNIT APTS                                       ",5732,5732,1953,1979,100,3,"N","N"
"82",364610,320,1,1,"303          24TH                      AVE  S  98144","303","   ","  ","24TH                     ","AVE ","S ","98144",2,830,4,3,4,"Autozone                                          ",20332,20332,1998,2000,100,17,"Y"," "
"83",125020,895,1,1,"312          28TH                      AVE  S  98144","312","   ","  ","28TH                     ","AVE ","S ","98144",3,352,2,4,3,"SIX UNIT APT                                      ",5508,4496,1965,1979,100,3,"N","N"
"84",766620,3765,1,1,"3200         6TH                       AVE  S  98134","3200","   ","  ","6TH                      ","AVE ","S ","98134",2,344,2,4,2,"OFFICE                                            ",7200,7200,1946,1965,100,4,"Y"," "
"85",149830,2345,1,1,"1911         22ND                      AVE  S  98144","1911","   ","  ","22ND                     ","AVE ","S ","98144",1,407,2,3,3,"WAREHOUSE                                         ",23236,23236,1954,1980,100,6,"N"," "
"86",766620,7461,3,1,"60        S  SPOKANE                   ST      98134","60","   ","S ","SPOKANE                  ","ST  ","  ","98134",1,494,3,4,2,"INDUSTRIAL BUILDING                               ",14400,14400,1951,1951,100,20,"N"," "
"87",983520,170,2,1,"3616         34TH                      AVE  S  98144","3616","   ","  ","34TH                     ","AVE ","S ","98144",1,344,2,4,4,"SMALL OFFICE BUILDING                             ",253,253,1959,1980,100,6,"N"," "
"88",172280,2465,1,1,"85        S  ORCAS                     ST      98134","85","   ","S ","ORCAS                    ","ST  ","  ","98134",1,406,2,5,2,"STORAGE WAREHOUSE                                 ",25716,22154,1962,1962,100,6," "," "
"89",182404,9075,1,1,"3847         1ST                       AVE  S  98134","3847","   ","  ","1ST                      ","AVE ","S ","98134",1,406,2,3,4,"WHSE                                              ",21560,21560,1961,1961,100,20,"N"," "
"90",388190,180,1,1,"1803         13TH                      AVE  S  98144","1803","   ","  ","13TH                     ","AVE ","S ","98144",4,300,2,4,5,"10 UNIT                                           ",12608,8434,1973,1995,100,3,"N","N"
"91",766620,3735,1,1,"2940         6TH                       AVE  S  98134","2940","   ","  ","6TH                      ","AVE ","S ","98134",1,406,2,3,4,"WHSE                                              ",6676,6676,1954,1965,100,0,"N"," "
"92",766620,5140,1,1,"1919         4TH                       AVE  S  98134","1919","   ","  ","4TH                      ","AVE ","S ","98134",2,406,2,5,4,"STAR RENTALS WHSE                                 ",8400,8400,1964,1981,100,20,"N"," "
"93",524780,385,1,1,"206          1ST                       AVE  S  98104","206","   ","  ","1ST                      ","AVE ","S ","98104",5,840,2,3,4,"Office Bldg.                                      ",20415,14236,1903,1999,100,17,"Y","Y"
"94",766620,6705,1,1,"1028         1ST                       AVE  S  98134","1028","   ","  ","1ST                      ","AVE ","S ","98134",1,534,2,4,2,"WAREHOUSE                                         ",8700,8700,1900,1920,100,6,"N"," "
"95",713380,100,1,1,"1138         POPLAR                    PL   S  98144","1138","   ","  ","POPLAR                   ","PL  ","S ","98144",2,840,2,3,4,"OFFICE                                            ",6900,6900,1955,1962,100,2,"N"," "
"96",94200,590,1,1,"712          3RD                       AVE     98104","712","   ","  ","3RD                      ","AVE ","  ","98104",22,344,2,1,4,"OFFICE BLDG                                       ",227556,129000,1970,1985,100,12,"Y","Y"
"97",331950,1965,3,1,"604          20TH                      AVE  S  98144","604","   ","  ","20TH                     ","AVE ","S ","98144",2,365,2,3,6,"SCHOOL                                            ",21592,21592,1922,1945,100,5,"N"," "
"98",524780,470,1,1,"114          1ST                       AVE  S  98104","114","   ","  ","1ST                      ","AVE ","S ","98104",4,338,2,3,4,"Office BUILDING W/RETAIL ON 1ST FLOOR             ",21840,15140,1900,1975,100,8,"N"," "
"99",754830,480,1,1,"1775         17TH                      AVE  S  98144","1775","   ","  ","17TH                     ","AVE ","S ","98144",2,352,2,4,4,"4-PLEX                                            ",3024,3024,1963,1982,100,2,"N","N"
"100",364610,970,1,1,"722          23RD                      AVE  S  98144","722","   ","  ","23RD                     ","AVE ","S ","98144",2,459,2,4,4,"RETAIL STORE W/APARTMENT UNITS                    ",3600,3600,1985,1990,100,1,"N"," "
"101",331950,1400,1,1,"1605      S  JACKSON                   ST      98144","1605","   ","S ","JACKSON                  ","ST  ","  ","98144",1,407,1,4,4,"WAREHOUSE                                         ",3950,3950,1996,1998,100,6,"N"," "
"102",132730,6,1,1,"423       S  HORTON                    ST      98134","423","   ","S ","HORTON                   ","ST  ","  ","98134",2,406,2,4,4,"WHSE EQ                                           ",10000,10000,1919,1959,100,6,"Y"," "
"103",159460,70,1,1,"2464      S  COLLEGE                   ST      98144","2464","   ","S ","COLLEGE                  ","ST  ","  ","98144",2,352,2,4,4,"COLLEGE COURT APTS                                ",9072,7056,1962,1982,100,2,"N","N"
"104",364610,85,1,1,"139          23RD                      AVE  S  98144","139","   ","  ","23RD                     ","AVE ","S ","98144",2,348,2,4,4,"                                                  ",3400,3390,1906,1980,100,4," "," "
"105",331950,1505,2,1,"415          18TH                      AVE  S  98144","415","   ","  ","18TH                     ","AVE ","S ","98144",1,494,2,4,2,"WAREHOUSE                                         ",8414,8414,1918,1950,100,6,"N"," "
"106",766620,4495,1,1,"1919         6TH                       AVE  S  98134","1919","   ","  ","6TH                      ","AVE ","S ","98134",1,407,2,3,4,"GRAYBAR ELECTRIC WHSE & OFFICE                    ",73296,73296,1960,1960,100,6,"Y"," "
"107",197920,285,1,1,"901          MADISON                   ST      98104","901","   ","  ","MADISON                  ","ST  ","  ","98104",1,350,2,3,4,"RESTAURANT                                        ",5960,5960,1908,1991,100,7,"N"," "
"108",162404,9006,4,1,"3200         23RD                      AVE  S  98144","3200","   ","  ","23RD                     ","AVE ","S ","98144",1,432,2,4,4,"RESTROOM                                          ",985,985,1969,1969,100,2,"Y"," "
"109",172280,2695,3,1,"5400         EAST MARGINAL             WAY  S  98134","5400","   ","  ","EAST MARGINAL            ","WAY ","S ","98134",1,406,2,5,4,"IND BLDG                                          ",8090,8090,1981,1981,100,20,"N"," "
"110",93900,235,1,1,"110          CHERRY                    ST      98104","110","   ","  ","CHERRY                   ","ST  ","  ","98104",3,344,2,3,6,"OFFICE BUILDING W/RETAIL ON 1ST FLOOR             ",28600,23002,1903,1975,100,8,"Y","Y"
"111",149830,850,2,1,"2025         14TH                      AVE  S  98144","2025","   ","  ","14TH                     ","AVE ","S ","98144",1,302,2,4,4,"GYM                                               ",5251,4848,1971,1975,100,3,"Y"," "
"112",766620,4395,2,1,"2460         4TH                       AVE  S  98134","2460","   ","  ","4TH                      ","AVE ","S ","98134",2,528,2,5,5,"MAINT/OFC BLDG                                    ",21996,21996,1991,1995,100,6,"Y"," "
"113",713380,205,1,1,"927          RAINIER                   AVE  S  98144","927","   ","  ","RAINIER                  ","AVE ","S ","98144",2,406,2,4,5,"Remodeled Whse/Office                             ",7368,7368,1906,1980,100,6,"N"," "
"114",982670,1616,1,1,"104          22ND                      AVE  S  98144","104","   ","  ","22ND                     ","AVE ","S ","98144",1,352,3,4,4,"FOUR PLEX                                         ",2471,2316,1958,1980,100,2,"N","N"
"115",766620,7155,2,1,"1939         1ST                       AVE  S  98134","1939","   ","  ","1ST                      ","AVE ","S ","98134",1,406,2,4,4,"WAREHOUSE                                         ",8880,8880,1914,1941,100,6,"N"," "
"116",138980,26,1,1,"2512         14TH                      AVE  S  98144","2512","   ","  ","14TH                     ","AVE ","S ","98144",3,352,2,4,4,"BAYVIEW LTD APTS                                  ",15175,14983,1968,1990,100,2,"N","N"
"117",766620,6231,1,1,"2230         1ST                       AVE  S  98134","2230","   ","  ","1ST                      ","AVE ","S ","98134",1,406,2,3,4,"INTERSTATE SUPPLY OFFICE& WHSE                    ",14700,14700,1925,1965,100,6,"N"," "
"118",766620,4375,2,1,"2447         6TH                       AVE  S  98134","2447","   ","  ","6TH                      ","AVE ","S ","98134",1,494,2,3,4,"WHSE                                              ",4800,4800,1956,1975,100,6,"N"," "
"119",57000,325,1,1,"2500         BEACON                    AVE  S  98144","2500","   ","  ","BEACON                   ","AVE ","S ","98144",2,340,2,4,3,"ABC SUPERMARKET                                   ",8800,8800,1926,1980,100,6,"N","N"
"120",524780,2005,1,1,"601       S  WASHINGTON                ST      98104","601","   ","S ","WASHINGTON               ","ST  ","  ","98104",5,300,2,4,5,"METROPOLITAN PARK                                 ",97737,53418,1991,2001,100,2,"Y","Y"
"121",766620,6455,1,1,"1534         1ST                       AVE  S  98134","1534","   ","  ","1ST                      ","AVE ","S ","98134",2,406,2,3,2,"WAREHOUSE                                         ",40800,40800,1928,1959,100,3,"Y"," "
"122",766670,2210,1,1,"3419         11TH                      AVE  SW 98134","3419","   ","  ","11TH                     ","AVE ","SW","98134",1,407,2,1,3,"MARINE HARDWARE WAREHOUSE                         ",20200,20200,1900,1955,100,6,"N"," "
"123",197920,270,1,1,"900          MADISON                   ST      98104","900","   ","  ","MADISON                  ","ST  ","  ","98104",7,841,2,3,8,"SORRENTO HOTEL                                    ",76631,76631,1908,1980,100,14,"Y","Y"
"124",766670,1710,4,1,"2541         11TH                      AVE  SW 98134","2541","   ","  ","11TH                     ","AVE ","SW","98134",1,406,2,3,4,"INDUSTRIAL BLDG                                   ",480,480,1964,1975,100,20,"N"," "
"125",125020,715,1,1,"2608      S  LANE                      ST      98144","2608","   ","S ","LANE                     ","ST  ","  ","98144",2,352,2,4,3,"APARTMENT BLDG 6 UNITS                            ",4404,4204,1910,1970,100,2,"N","N"
"126",766060,10,1,1,"1308         13TH                      AVE  S  98144","1308","   ","  ","13TH                     ","AVE ","S ","98144",4,300,2,4,4,"LINNEA ANN APTS                                   ",6720,4688,1967,1984,100,2,"N","N"
"127",162404,9270,3,1,"3601         BEACON                    AVE  S  98144","3601","   ","  ","BEACON                   ","AVE ","S ","98144",1,406,3,4,2,"Storage Building                                  ",4000,4000,1950,1990,100,0," "," "
"128",766620,7085,1,1,"1701         1ST                       AVE  S  98134","1701","   ","  ","1ST                      ","AVE ","S ","98134",3,406,2,4,4,"WAREHOUSE                                         ",27690,27690,1910,1944,100,6,"N"," "
"129",766620,7220,2,1,"2401         UTAH                      AVE  S  98134","2401","   ","  ","UTAH                     ","AVE ","S ","98134",9,407,2,2,4,"WHSE                                              ",72360,70800,1916,1971,100,4,"Y","Y"
