"","Major","Minor","BldgNbr","NbrBldgs","Address","BuildingNumber","Fraction","DirectionPrefix","StreetName","StreetType","DirectionSuffix","ZipCode","NbrStories","PredominantUse","Shape","ConstrClass","BldgQuality","BldgDescr","BldgGrossSqFt","BldgNetSqFt","YrBuilt","EffYr","PcntComplete","HeatingSystem","Sprinklers","Elevators"
"1262",93900,475,1,1,"1000         2ND                       AVE     98104","1000","   ","  ","2ND                      ","AVE ","  ","98104",41,344,2,1,6,"OFFICE TOWER                                      ",589921,440369,1986,1996,100,14,"Y","Y"
"1263",766620,6275,1,1,"1950         1ST                       AVE  S  98134","1950","   ","  ","1ST                      ","AVE ","S ","98134",2,494,2,4,2,"WHSE                                              ",27000,27000,1916,1955,100,6,"Y","Y"
"1264",766620,5165,1,1,"2215         4TH                       AVE  S  98134","2215","   ","  ","4TH                      ","AVE ","S ","98134",1,494,2,3,2,"INDUSTRIAL                                        ",1798,1798,1944,1969,100,6,"N"," "
"1265",766620,4465,1,1,"1924         4TH                       AVE  S  98134","1924","   ","  ","4TH                      ","AVE ","S ","98134",1,407,2,3,4,"WHSE WITH OFFICE                                  ",28144,28144,1966,1969,100,6,"Y"," "
"1266",766620,7445,1,1,"3231         UTAH                      AVE  S  98134","3231","   ","  ","UTAH                     ","AVE ","S ","98134",1,494,2,5,3,"INDUSTRIAL BLDG                                   ",41076,41076,1974,1979,100,6,"N"," "
"1267",132730,15,1,1,"65        S  HORTON                    ST      98134","65","   ","S ","HORTON                   ","ST  ","  ","98134",1,494,2,4,2,"METAL FABRICATING                                 ",19392,19392,1917,1940,100,6,"N"," "
"1268",149830,2515,1,1,"2001         RAINIER                   AVE  S  98144","2001","   ","  ","RAINIER                  ","AVE ","S ","98144",1,353,2,4,4,"ICE CREAM PARLOR                                  ",1050,1050,1983,1983,100,6,"N"," "
"1269",713230,435,2,1,"912          RAINIER                   AVE  S  98144","912","   ","  ","RAINIER                  ","AVE ","S ","98144",1,344,2,4,3,"0FFICE BUILDING                                   ",1440,1440,1955,1965,100,3,"N"," "
"1270",766620,5295,1,1,"2723         4TH                       AVE  S  98134","2723","   ","  ","4TH                      ","AVE ","S ","98134",1,406,2,3,4,"WAREHOUSE                                         ",4000,4000,1970,1980,100,20,"N"," "
"1271",766620,6055,1,1,"2764         1ST                       AVE  S  98134","2764","   ","  ","1ST                      ","AVE ","S ","98134",1,304,2,2,4,"BANK                                              ",15360,15360,1946,1970,100,4,"N"," "
"1272",766620,6105,1,1,"2456         1ST                       AVE  S  98134","2456","   ","  ","1ST                      ","AVE ","S ","98134",1,406,2,4,4,"PIUS                                              ",6000,6000,1921,1959,100,6,"N"," "
"1273",524780,1935,1,1,"414          6TH                       AVE  S  98104","414","   ","  ","6TH                      ","AVE ","S ","98104",1,582,2,3,4,"POST OFFICE                                       ",9720,9720,1956,1970,100,6,"N"," "
"1274",149830,2520,1,1,"2006         RAINIER                   AVE  S  98144","2006","   ","  ","RAINIER                  ","AVE ","S ","98144",1,528,2,5,3,"GARAGE SERVICE REPAIR                             ",880,880,1954,1964,100,6,"N"," "
"1275",524780,130,1,1,"201          1ST                       AVE  S  98104","201","   ","  ","1ST                      ","AVE ","S ","98104",3,350,2,3,4,"VACANT HOTEL W/RESTAURANT ON 1ST FLOOR            ",25450,6660,1900,1930,100,4,"N"," "
"1276",766620,7905,2,1,"2917         EAST MARGINAL             WAY  S  98134","2917","   ","  ","EAST MARGINAL            ","WAY ","S ","98134",1,406,2,4,4,"OFC A3                                            ",6488,6488,1980,1980,100,6,"N"," "
"1277",282960,260,1,1,"1120         14TH                      AVE  S  98144","1120","   ","  ","14TH                     ","AVE ","S ","98144",2,352,2,3,5,"13 UNIT APT                                       ",7228,6380,1958,1984,100,2,"N","N"
"1278",766670,3095,2,1,"3423      SW KLICKITAT                 AVE     98134","3423","   ","SW","KLICKITAT                ","AVE ","  ","98134",1,406,2,3,4,"COMPRESSOR HOUSE                                  ",680,680,1956,1960,100,20,"N"," "
"1279",197820,665,3,1,"805          SUMMIT                    AVE     98104","805","   ","  ","SUMMIT                   ","AVE ","  ","98104",6,331,3,2,6,"SMC EAST WING                                     ",119073,119073,1912,1985,100,17,"Y","Y"
"1280",766620,4165,1,1,"3200         4TH                       AVE  S  98134","3200","   ","  ","4TH                      ","AVE ","S ","98134",1,494,2,3,3,"INDUST BLDG                                       ",18000,18000,1928,1950,100,6,"N"," "
"1281",766620,3265,1,1,"2015         AIRPORT                   WAY  S  98134","2015","   ","  ","AIRPORT                  ","WAY ","S ","98134",1,407,2,3,4,"REPAIR FACILITY                                   ",24520,24520,1956,1965,100,6,"Y"," "
"1282",151060,0,1,1,"910          MARION                    ST      98104","910","   ","  ","MARION                   ","ST  ","  ","98104",15,451,2,2,6," Chancery Place Apartments                        ",115775,56860,1982,1993,100,1," ","Y"
"1283",524780,2295,1,1,"400          MAYNARD                   AVE  S  98104","400","   ","  ","MAYNARD                  ","AVE ","S ","98104",3,300,2,3,4,"MIXED USE RETAIL & APARTMENT                      ",24171,20854,1916,1976,100,2,"N"," "
"1284",766620,7506,1,1,"99        S  SPOKANE                   ST      98134","99","   ","S ","SPOKANE                  ","ST  ","  ","98134",1,494,2,2,4,"BUFFALO SANITARY WIPERS CO                        ",67712,67712,1926,1940,100,20,"Y"," "
"1285",955220,115,1,1,"403          30TH                      AVE  S  98144","403","   ","  ","30TH                     ","AVE ","S ","98144",2,352,3,4,4,"APT                                               ",4704,3096,1900,1974,100,3,"N","N"
"1286",713830,35,1,1,"2609      S  MCCLELLAN                 ST      98144","2609","   ","S ","MCCLELLAN                ","ST  ","  ","98144",1,830,2,3,4,"MIXED-USE RETAIL                                  ",6363,6363,1975,1985,100,11,"N"," "
"1287",524780,660,1,1,"215          2ND                       AVE  S  98104","215","   ","  ","2ND                      ","AVE ","S ","98104",5,459,2,3,2,"RETAIL AND APARTMENTS                             ",38765,24423,1900,1975,100,1,"N","Y"
"1288",357320,955,4,1,"5000         EAST MARGINAL             WAY  S  98134","5000","   ","  ","EAST MARGINAL            ","WAY ","S ","98134",1,494,2,5,4,"SEATTLE RADIATOR WORKS                            ",2000,2000,1984,1984,100,6,"Y"," "
