"","Major","Minor","BldgNbr","NbrLivingUnits","Address","BuildingNumber","Fraction","DirectionPrefix","StreetName","StreetType","DirectionSuffix","ZipCode","Stories","BldgGrade","BldgGradeVar","SqFt1stFloor","SqFtHalfFloor","SqFt2ndFloor","SqFtUpperFloor","SqFtUnfinFull","SqFtUnfinHalf","SqFtTotLiving","SqFtTotBasement","SqFtFinBasement","FinBasementGrade","SqFtGarageBasement","SqFtGarageAttached","DaylightBasement","SqFtOpenPorch","SqFtEnclosedPorch","SqFtDeck","HeatSystem","HeatSource","BrickStone","ViewUtilization","Bedrooms","BathHalfCount","Bath3qtrCount","BathFullCount","FpSingleStory","FpMultiStory","FpFreestanding","FpAdditional","YrBuilt","YrRenovated","PcntComplete","Obsolescence","PcntNetCondition","Condition","AddnlCost"
"1977",128230,80,1,1,"3213   MCCLINTOCK AVE S  98144","3213","   ","  ","MCCLINTOCK               ","AVE   ","S ","98144",1.5,6,0,640,260,0,0,0,0,900,380,0,0,0,0," ",0,0,0,5,2,0," ",3,1,0,1,0,0,0,0,1931,0,0,0,0,3,0
"1978",128230,120,1,1,"3138   WETMORE AVE S  98144","3138","   ","  ","WETMORE                  ","AVE   ","S ","98144",1,6,0,760,0,0,0,0,0,760,760,0,0,180,0,"N",40,0,0,5,1,0,"N",2,0,0,1,1,0,0,0,1923,0,0,0,0,3,0
"1979",128230,880,1,1,"3009  S BYRON ST   98144","3009","   ","S ","BYRON                    ","ST    ","  ","98144",1.5,7,0,860,350,0,0,0,0,2070,860,860,6,0,0,"N",40,0,0,5,2,0,"N",4,0,0,1,1,0,0,0,1924,0,0,0,0,3,0
"1980",128230,1165,1,1,"3127  S WALDEN ST   98144","3127","   ","S ","WALDEN                   ","ST    ","  ","98144",1,7,0,1040,0,0,0,0,0,1710,920,670,7,250,0,"Y",0,0,120,5,2,0," ",4,0,0,2,0,0,0,0,1975,0,0,0,0,3,0
"1981",128230,1720,1,1,"3025  S ESTELLE ST   98144","3025","   ","S ","ESTELLE                  ","ST    ","  ","98144",1,6,0,1010,0,0,0,0,0,1010,0,0,0,0,0," ",100,0,0,4,3,0," ",2,0,0,1,0,0,0,0,1907,0,0,0,0,1,0
"1982",128230,1845,1,1,"3402   WETMORE AVE S  98144","3402","   ","  ","WETMORE                  ","AVE   ","S ","98144",2,7,0,1040,0,630,0,0,0,2670,1150,1000,6,0,0,"Y",190,0,0,5,2,0,"N",4,1,0,1,0,0,0,0,1901,0,0,0,0,4,0
"1983",128530,155,1,1,"2424  S IRVING ST   98144","2424","   ","S ","IRVING                   ","ST    ","  ","98144",2,7,0,580,0,590,0,0,0,1170,0,0,0,0,0,"N",50,0,0,1,3,0," ",3,1,0,1,0,0,0,0,1993,0,0,0,0,3,0
"1984",388190,384,1,1,"1812   18TH AVE S  98144","1812","   ","  ","18TH                     ","AVE   ","S ","98144",1.5,6,0,720,520,0,0,0,0,1240,720,0,0,0,0," ",0,0,0,1,1,0," ",4,0,0,1,0,1,0,0,1910,0,0,0,0,3,0
"1985",388190,415,1,1,"1815   19TH AVE S  98144","1815","   ","  ","19TH                     ","AVE   ","S ","98144",1,8,0,1368,0,0,0,0,0,2372,1360,1004,8,356,0,"Y",56,0,140,5,2,0," ",3,1,0,2,1,0,0,0,2001,0,0,0,0,3,0
"1986",162404,9033,1,1,"2905  S ESTELLE ST   98144","2905","   ","S ","ESTELLE                  ","ST    ","  ","98144",1,6,0,810,0,0,0,0,0,1620,810,810,6,0,0,"N",60,0,0,5,3,0,"N",3,1,0,1,0,0,0,0,1913,0,0,0,0,3,0
"1987",162404,9173,1,1,"2310  S SPOKANE ST   98144","2310","   ","S ","SPOKANE                  ","ST    ","  ","98144",1,6,0,930,0,0,0,0,0,1730,930,800,6,0,0," ",0,0,180,5,2,0," ",2,0,0,1,1,0,0,0,1916,1991,0,0,0,3,0
"1988",162404,9210,1,1,"3647   RENTON AVE S  98144","3647","   ","  ","RENTON                   ","AVE   ","S ","98144",2,7,0,570,0,520,0,0,0,1090,570,0,0,0,0,"N",160,0,0,6,2,0,"N",3,0,2,0,0,0,0,0,1911,0,0,0,0,3,0
"1989",246090,20,1,1,"933   24TH AVE S  98144","933","   ","  ","24TH                     ","AVE   ","S ","98144",1.5,7,0,920,640,0,0,0,0,1560,1010,0,0,200,0," ",170,0,0,5,1,0," ",3,0,0,1,0,0,0,0,1907,0,0,0,0,4,0
"1990",246090,70,1,1,"920   23RD AVE S  98144","920","   ","  ","23RD                     ","AVE   ","S ","98144",1,6,0,1190,0,0,0,0,0,1190,1190,0,0,200,0,"N",60,0,0,5,1,0,"N",3,0,0,1,0,0,0,0,1900,0,0,0,0,3,0
"1991",246090,130,1,1,"2202  S NORMAN ST   98144","2202","   ","S ","NORMAN                   ","ST    ","  ","98144",1,7,0,1260,0,0,0,0,0,2190,1190,930,7,260,0,"Y",80,0,0,5,3,0," ",4,0,1,1,0,0,0,0,1978,0,0,0,0,4,0
"1992",125020,3092,1,1,"301   35TH AVE S  98144","301","   ","  ","35TH                     ","AVE   ","S ","98144",2,9,0,810,0,400,0,0,0,2030,820,820,8,0,0,"Y",200,0,0,5,2,0,"N",3,1,1,1,0,0,0,0,1913,0,0,0,0,5,0
"1993",125020,3170,1,1,"415   35TH AVE S  98144","415","   ","  ","35TH                     ","AVE   ","S ","98144",2,9,0,1480,0,870,0,0,0,3850,1500,1500,8,0,0,"N",330,0,380,5,2,0,"N",4,1,1,3,0,1,0,0,1915,0,0,0,0,5,0
"1994",125020,3315,1,1,"832   34TH AVE S  98144","832","   ","  ","34TH                     ","AVE   ","S ","98144",2,8,0,1010,0,710,0,0,0,2530,1010,810,7,200,0,"Y",0,0,340,2,1,100,"N",4,0,0,4,0,1,0,0,1930,0,0,0,0,3,0
"1995",125020,3515,1,1,"1115   LAKESIDE AVE S  98144","1115","   ","  ","LAKESIDE                 ","AVE   ","S ","98144",2,10,0,820,0,970,0,0,0,2140,810,350,9,400,0,"Y",0,0,140,5,2,0,"Y",2,1,1,1,2,0,0,0,1985,0,0,0,0,3,0
